CompoundName,Toxicity
Perfluorinated chemicals (PFCs),1
Diethylhexyl phthalates,1
Sodium Lauryl Sulfate,1
Vinyl chloride,1
Magnesium Stearate,0
Cocamidopropyl betaine,0
CI 12490,0
Sodium chloride,0
Cetearyl Alcohol,0
Atrazine,1
Lanolin,0
Caprylic/Capric Triglyceride,0
Cadmium,1
Propylparaben,1
Sodium Benzoate,0
Benzalkonium chloride,1
Parabens,1
Benzene,1
Triclosan,1
Dichloroethylene,1
Acetone,1
Sandalwood Extract,0
Tea Tree Oil,0
Dioxins and furans,1
Talc,0
Sodium Laureth Sulfate,0
PFAS,1
Asbestos,1
Sodium Palmitate,0
CI 12490,0
Retinol,0
Limonene,0
PEG-40 Hydrogenated Castor Oil,0
Lead Acetate,1
Petrolatum,0
Brominated flame retardants,1
Sodium Benzoate,0
Methylisothiazolinone,1
Sodium C14-16 Olefin Sulfonate,0
Boric Acid,1
Sodium Lauryl Sulphate,1
Sorbitol,0
Arsenic,1
Benzyl Alcohol,0
M-phenylenediamine,1
Ethanolamine,1
Climbazole,0
Ethylhexyl methoxycinnamate,0
Tocopherol,0
Octyl methoxycinnamate,0
Dibutyl phthalates,1
Mercury,1
Propylene Glycol,0
Perchlorate,1
Glycerin,0
Quaternium 15,1
Isopropyl Alcohol,0
Sodium Lauroyl Sarcosinate,0
Water (aqua),0
Sodium Laureth Sulfate (SLES),1
Hydroquinone,1
CI 12490,0
Sodium Cocoyl Isethionate,0
Stearic Acid,0
Nonylphenol,1
Toluene,1
Dichlorobenzene,1
Sodium Hydroxide,0
Polyethylene glycol (PEG),1
Methylene glycol,1
Phthalates,1
Benzoyl Peroxide,1
Tetrasodium EDTA,0
Butylated hydroxytoluene (BHT),0
Formaldehyde,1
Titanium Dioxide,0
